FILE_TYPE_NAME,SOURCE_FIELD_NUMBER,COLUMN_NAME,DATATYPE,PY_FUNCTION_CALL 
 MDS,1,id,int,generate_random_int 
 MDS,2,marketDataSetName,string,generate_random_string 
 MDS,3,name,string,generate_random_string 
 MDS,4,marketDataSetType,string,generate_random_string 
 MDS,5,marketDataSetContext,string,generate_random_string 
 MDS,6,marketDataSetCreationDateTime,time,generate_date 
 MDS,7,marketDataSetSourceIdDomain,string,generate_random_string 
 MDS,8,marketDataSetSourceIdId,string,generate_random_string 
 MDS,9,marketDataSetSourceIdVersion,string,generate_random_string 
 MDS,10,marketDataSetLegacySourceIdDomain,string,generate_random_string 
 MDS,11,marketDataSetLegacySourceIdId,string,generate_random_string 
 MDS,12,marketDataSetRiskType,string,generate_random_string 
 MDS,13,marketDataSetCalculationType,string,generate_random_string 
 MDS,14,marketDataSetModelDomain,string,generate_random_string 
 MDS,15,marketDataSetModelId,string,generate_random_string 
 MDS,16,marketDataSetOwnerDomain,string,generate_random_string 
 MDS,17,marketDataSetOwnerId,string,generate_random_string 
 MDS,18,marketDataSetCurrency,string,generate_random_string 
 MDS,19,discountingMarketDataSet,string,generate_random_string 
 MDS,20,referenceMarketDataSet,string,generate_random_string 
 MDS,21,countryOfRisk,string,generate_random_string 
 MDS,22,indexId,string,generate_random_string 
 MDS,23,trancheId,string,generate_random_string 
 MDS,24,referenceIndex,string,generate_random_string 
 MDS,25,S_PRating,string,generate_random_string 
 MDS,26,moodyRating,string,generate_random_string 
 MDS,27,fitchRating,string,generate_random_string 
 MDS,28,internalRating,string,generate_random_string 
 MDS,29,compositeRating,string,generate_random_string 
 MDS,30,instrumentIdDomain,string,generate_random_string 
 MDS,31,instrumentIdId,string,generate_random_string 
 MDS,32,alternateInstrumentIdDomain,string,generate_random_string 
 MDS,33,alternateInstrumentIdId,string,generate_random_string 
 MDS,34,currencyPair,string,generate_random_string 
 MDS,35,compoundingMethod,string,generate_random_string 
 MDS,36,seniority,string,generate_random_string 
 MDS,37,restructuringType,string,generate_random_string 
 MDS,38,referenceEntityIdDomain,string,generate_random_string 
 MDS,39,referenceEntityIdId,string,generate_random_string 
 MDS,40,curveMarketDomain,string,generate_random_string 
 MDS,41,curveMarket,string,generate_random_string 
 MDS,42,curveType,string,generate_random_string 
 MDS,43,curveSubType,string,generate_random_string 
 MDS,44,parameterFamily,string,generate_random_string 
 MDS,45,commodity_location,string,generate_random_string 
 MDS,46,commodity_quality,string,generate_random_string 
 MDS,47,isTradingAsDefaulted,string,generate_random_string 
 MDS,48,guarantorName,string,generate_random_string 
 MDS,49,guaranteeType,string,generate_random_string 
 MDS,50,guaranteeEndDate,string,generate_random_string 
 MDS,51,immConvention,string,generate_random_string 
 MDS,52,premiumFrequency,string,generate_random_string 
 MDS,53,markQuoteConvention,string,generate_random_string 
 MDS,54,rowLabel,string,generate_random_string 
 MDS,55,rowLabelDate,string,generate_random_string 
 MDS,55,tickersym,string,generate_random_string 
 MDS,56,columnLabel,string,generate_random_string 
 MDS,56,fundissuerid,string,generate_random_string 
 MDS,57,columnLabelDate,string,generate_random_string 
 MDS,57,fundstrategy,string,generate_random_string 
 MDS,58,additionalLabelName1,string,generate_random_string 
 MDS,58,fundmgr,string,generate_random_string 
 MDS,59,additionalLabelValue1,string,generate_random_string 
 MDS,59,fundfamily,string,generate_random_string 
 MDS,60,additionalLabelName2,string,generate_random_string 
 MDS,60,fundmaster,string,generate_random_string 
 MDS,61,additionalLabelValue2,string,generate_random_string 
 MDS,61,fundfeeder,string,generate_random_string 
 MDS,62,termStructureConvention,string,generate_random_string 
 MDS,62,fundtype,string,generate_random_string 
 MDS,63,minuendMDSName,string,generate_random_string 
 MDS,63,undrxmprodcode,string,generate_random_string 
 MDS,64,minuendMDSCurrency,string,generate_random_string 
 MDS,64,rxmprodcode,string,generate_random_string 
 MDS,65,minuendMDSResetTenor,string,generate_random_string 
 MDS,66,subtrahendMDSName,string,generate_random_string 
 MDS,67,subtrahendMDSCurrency,string,generate_random_string 
 MDS,68,subtrahendMDSResetTenor,string,generate_random_string 
 MDS,69,impliedFrom,string,generate_random_string 
 MDS,70,outrightCurveName,string,generate_random_string 
 MDS,71,resetTenor,string,generate_random_string 
 MDS,72,isNonDeliverable,string,generate_random_string 
 MDS,73,compositionType,string,generate_random_string 
 MDS,74,isDomesticCurrencyNonDeliverable,string,generate_random_string 
 MDS,75,isForeignCurrencyNonDeliverable,string,generate_random_string 
 MDS,76,endTenor,string,generate_random_string 
 MDS,77,collateralRegion,string,generate_random_string 
 MDS,78,collateralSeniority,string,generate_random_string 
 MDS,79,collateralRatingGrade,string,generate_random_string 
 MDS,80,collateralRatingBand,string,generate_random_string 
 MDS,81,marketDataSetClearingHouse,string,generate_random_string 
 MDS,82,isNavApplicable,string,generate_random_string 
 MDS,83,customAttributeName1,string,generate_random_string 
 MDS,84,customAttributeValue1,string,generate_random_string 
 MDS,85,customAttributeName2,string,generate_random_string 
 MDS,86,customAttributeValue2,string,generate_random_string 
 MDS,87,customAttributeName3,string,generate_random_string 
 MDS,88,customAttributeValue3,string,generate_random_string 
 POSITION,1,id,int,generate_random_int 
 POSITION,2,parentPositionId,string,generate_random_string 
 POSITION,3,sourceSystemPositionIdDomain,string,generate_random_string 
 POSITION,4,sourceSystemPositionIdId,string,generate_random_string 
 POSITION,5,description,string,generate_random_string 
 POSITION,6,modificationDate,time,generate_date 
 POSITION,7,tradeId,string,generate_random_string 
 POSITION,7,bookingSystem,string,generate_random_string 
 POSITION,8,tradeEvent,string,generate_random_string 
 POSITION,9,tradeIdDomain,string,generate_random_string 
 POSITION,10,tradeIdId,string,generate_random_string 
 POSITION,11,tradeIdVersion,string,generate_random_string 
 POSITION,12,tradeIdLeg,string,generate_random_string 
 POSITION,13,alternateTradeIdDomain,string,generate_random_string 
 POSITION,14,alternateTradeIdId,string,generate_random_string 
 POSITION,15,alternateTradeIdVersion,string,generate_random_string 
 POSITION,16,alternateTradeIdLeg,string,generate_random_string 
 POSITION,17,clearedTradeIdDomain,string,generate_random_string 
 POSITION,18,clearedTradeIdId,string,generate_random_string 
 POSITION,19,relatedTradeIdDomain,string,generate_random_string 
 POSITION,20,relatedTradeIdId,string,generate_random_string 
 POSITION,21,relatedTradeIdVersion,string,generate_random_string 
 POSITION,22,relatedTradeIdLeg,string,generate_random_string 
 POSITION,23,contractIdDomain,string,generate_random_string 
 POSITION,24,contractIdId,string,generate_random_string 
 POSITION,25,contractIdVersion,string,generate_random_string 
 POSITION,26,valuationSystemPositionIdDomain,string,generate_random_string 
 POSITION,27,valuationSystemPositionIdId,string,generate_random_string 
 POSITION,28,lifecycleStatus,string,generate_random_string 
 POSITION,29,officialValuationModelIdDomain,string,generate_random_string 
 POSITION,30,officialValuationModelIdId,string,generate_random_string 
 POSITION,31,groupIdDomain,string,generate_random_string 
 POSITION,31,counterpartyType,string,generate_random_string 
 POSITION,32,groupIdId,string,generate_random_string 
 POSITION,32,counterpartyIdDomain,string,generate_random_string 
 POSITION,33,counterpartyIdId,string,generate_random_string 
 POSITION,33,groupDescription,string,generate_random_string 
 POSITION,34,initiatingCounterpartyIdDomain,string,generate_random_string 
 POSITION,35,initiatingCounterpartyIdId,string,generate_random_string 
 POSITION,36,groupType1,string,generate_random_string 
 POSITION,37,groupType2,string,generate_random_string 
 POSITION,38,groupIdDomain1,string,generate_random_string 
 POSITION,39,groupIdId1,string,generate_random_string 
 POSITION,40,groupIdDomain2,string,generate_random_string 
 POSITION,41,groupIdId2,string,generate_random_string 
 POSITION,42,groupDescription1,string,generate_random_string 
 POSITION,43,groupDescription2,string,generate_random_string 
 POSITION,44,tradeDate,time,generate_date 
 POSITION,45,effectiveDate,time,generate_date 
 POSITION,46,systemEntryDate,time,generate_date 
 POSITION,47,longShort,string,generate_random_string 
 POSITION,47,instrumentId,string,generate_random_string 
 POSITION,48,alternativeInstrumentIdDomain1,string,generate_random_string 
 POSITION,48,traderDomain,string,generate_random_string 
 POSITION,49,alternativeInstrumentIdId1,string,generate_random_string 
 POSITION,49,traderId,string,generate_random_string 
 POSITION,50,brokerDomain,string,generate_random_string 
 POSITION,50,alternativeInstrumentIdDomain2,string,generate_random_string 
 POSITION,51,brokerId,string,generate_random_string 
 POSITION,51,alternativeInstrumentIdId2,string,generate_random_string 
 POSITION,52,tradingBookIdDomain,string,generate_random_string 
 POSITION,53,tradingBookIdId,string,generate_random_string 
 POSITION,54,legacyRiskClass,string,generate_random_string 
 POSITION,55,otherSideTradingBookIdDomain,string,generate_random_string 
 POSITION,56,otherSideTradingBookIdId,string,generate_random_string 
 POSITION,57,riskHoldingEntityIdDomain,string,generate_random_string 
 POSITION,58,riskHoldingEntityIdId,string,generate_random_string 
 POSITION,59,indexDomain,string,generate_random_string 
 POSITION,59,contractingEntityIdDomain,string,generate_random_string 
 POSITION,60,indexName,string,generate_random_string 
 POSITION,60,contractingEntityIdId,string,generate_random_string 
 POSITION,61,subBook,string,generate_random_string 
 POSITION,61,trancheDomain,string,generate_random_string 
 POSITION,62,trancheName,string,generate_random_string 
 POSITION,62,family,string,generate_random_string 
 POSITION,63,legacyLegalEntity,string,generate_random_string 
 POSITION,64,strategy,string,generate_random_string 
 POSITION,65,amountCurrency,string,generate_random_string 
 POSITION,66,currentAmount,number,generate_random_int 
 POSITION,67,originalAmount,number,generate_random_int 
 POSITION,68,maturityDate,time,generate_date 
 POSITION,69,maturityDateType,string,generate_random_string 
 POSITION,70,tradingCurrency,string,generate_random_string 
 POSITION,71,isFundedCDS,string,generate_random_string 
 POSITION,72,isInDefault,string,generate_random_string 
 POSITION,73,ubsInstrumentIdDomain,string,generate_random_string 
 POSITION,74,ubsInstrumentId,string,generate_random_string 
 POSITION,75,ubsInstrumentIdVersion,string,generate_random_string 
 POSITION,76,ubsInstrumentIdLevel,string,generate_random_string 
 POSITION,77,alternateInstrumentIdDomain1,string,generate_random_string 
 POSITION,78,alternateInstrumentIdId1,string,generate_random_string 
 POSITION,79,alternateInstrumentIdDomain2,string,generate_random_string 
 POSITION,80,alternateInstrumentIdId2,string,generate_random_string 
 POSITION,81,underlierUbsInstrumentIdDomain,string,generate_random_string 
 POSITION,82,includeInPnl,string,generate_random_string 
 POSITION,82,underlierUbsInstrumentId,string,generate_random_string 
 POSITION,83,underlierUbsInstrumentIdVersion,string,generate_random_string 
 POSITION,84,underlierAlternateInstrumentIdDomain,string,generate_random_string 
 POSITION,85,underlierAlternateInstrumentIdId,string,generate_random_string 
 POSITION,86,legacyProductType,string,generate_random_string 
 POSITION,87,legacyProductSubType,string,generate_random_string 
 POSITION,88,productIdDomain,string,generate_random_string 
 POSITION,89,barrierEventType,string,generate_random_string 
 POSITION,89,productIdId,string,generate_random_string 
 POSITION,90,productIdVersion,string,generate_random_string 
 POSITION,91,parentProductIdDomain,string,generate_random_string 
 POSITION,92,barrierEventStartDate,time,generate_date 
 POSITION,92,parentProductIdId,string,generate_random_string 
 POSITION,93,barrierEventEndDate,time,generate_date 
 POSITION,93,parentProductIdVersion,string,generate_random_string 
 POSITION,94,isOTC,string,generate_random_string 
 POSITION,95,cashFlowType,string,generate_random_string 
 POSITION,96,cashFlowValue,string,generate_random_string 
